"Item_Identifier","Item_Weight","Item_Fat_Content","Item_Visibility","Item_Type","Item_MRP","Outlet_Identifier","Outlet_Establishment_Year","Outlet_Size","Outlet_Location_Type","Outlet_Type","Item_Outlet_Sales","Item_Visibility_MeanRatio","Item_Type_Combined","Outlet_Years"
"FDC14",12.3408296213808,"Regular",0.072221801,"Canned",43.6454,"OUT019",1985,"Small","Tier 1","Grocery Store",125.8362,0.335758938851759,"Food",28
"FDV38",19.25,"Low Fat",0.170348551,"Dairy",55.7956,"OUT010",1998,"Small","Tier 3","Grocery Store",163.7868,0.137923808128353,"Food",15
"NCS17",18.6,"Non-Edible",0.080829372,"Health and Hygiene",96.4436,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",2741.7644,0.199156343225334,"Non-Consumable",4
"FDP33",18.7,"Low Fat",0.105209921125,"Snack Foods",256.6672,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",3068.0064,0.152526499672347,"Food",4
"FDO23",17.85,"Low Fat",0.160270077,"Breads",93.1436,"OUT045",2002,"Small","Tier 2","Supermarket Type1",2174.5028,0.100126619393837,"Food",11
"DRH01",17.5,"Low Fat",0.097904029,"Soft Drinks",174.8738,"OUT046",1997,"Small","Tier 1","Supermarket Type1",2085.2856,0.151171142869771,"Drinks",16
"NCX29",10,"Non-Edible",0.089291137,"Health and Hygiene",146.7102,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",3791.0652,0.157449670403542,"Non-Consumable",14
"FDV20",13.1944061187762,"Regular",0.059511812,"Fruits and Vegetables",128.0678,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",2797.6916,0.231630806905503,"Food",28
"DRZ11",8.85,"Regular",0.113123893,"Soft Drinks",122.5388,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",1609.9044,0.142301344435725,"Drinks",4
"FDX10",12.8657320024198,"Regular",0.123111453,"Snack Foods",36.9874,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",388.1614,0.133769806624875,"Food",28
"FDB34",12.8657320024198,"Low Fat",0.026480954,"Snack Foods",87.6198,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",2180.495,0.555682318218685,"Food",28
"FDU02",13.35,"Low Fat",0.102511504,"Dairy",230.6352,"OUT046",1997,"Small","Tier 1","Supermarket Type1",3435.528,0.171681446259005,"Food",16
"FDK43",9.8,"Low Fat",0.02681843,"Meat",126.002,"OUT013",1987,"High","Tier 3","Supermarket Type1",2150.534,0.551409891952826,"Food",26
"FDA46",13.6,"Low Fat",0.117818348,"Snack Foods",192.9136,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",2527.3768,0.126816307940267,"Food",14
"FDC02",21.35,"Low Fat",0.069102831,"Canned",259.9278,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",6768.5228,0.216761948302689,"Food",4
"FDL50",12.15,"Regular",0.042277867,"Canned",126.5046,"OUT013",1987,"High","Tier 3","Supermarket Type1",373.5138,0.378838193728085,"Food",26
"FDM39",6.42,"Low Fat",0.089498926,"Dairy",178.1002,"OUT010",1998,"Small","Tier 3","Grocery Store",358.2004,0.262518467149673,"Food",15
"NCP05",19.6,"Non-Edible",0.0241160834285714,"Health and Hygiene",153.3024,"OUT045",2002,"Small","Tier 2","Supermarket Type1",2428.8384,0.665419036533438,"Non-Consumable",11
"FDV49",10,"Low Fat",0.025879577,"Canned",265.2226,"OUT045",2002,"Small","Tier 2","Supermarket Type1",5815.0972,0.573049522591483,"Food",11
"FDL12",15.85,"Regular",0.121632721,"Baking Goods",60.622,"OUT046",1997,"Small","Tier 1","Supermarket Type1",2576.646,0.115405099016843,"Food",16
"FDS02",13.2383581296493,"Regular",0.255394896,"Dairy",196.8794,"OUT019",1985,"Small","Tier 1","Grocery Store",780.3176,0.113428758113119,"Food",28
"NCL17",7.39,"Non-Edible",0.067779712,"Health and Hygiene",143.8812,"OUT046",1997,"Small","Tier 1","Supermarket Type1",3134.5864,0.207097902186255,"Non-Consumable",16
"FDM40",10.195,"Low Fat",0.159803853,"Frozen Foods",141.5154,"OUT013",1987,"High","Tier 3","Supermarket Type1",850.8924,0.0915280836319246,"Food",26
"FDR13",9.895,"Regular",0.028696932,"Canned",117.0492,"OUT013",1987,"High","Tier 3","Supermarket Type1",810.9444,0.4887405779257,"Food",26
"FDA43",10.895,"Low Fat",0.065041581,"Fruits and Vegetables",196.3794,"OUT017",2007,"Small","Tier 2","Supermarket Type1",3121.2704,0.214099236508007,"Food",6
"NCP18",12.15,"Non-Edible",0.028760013,"Household",151.4708,"OUT017",2007,"Small","Tier 2","Supermarket Type1",4815.0656,0.517523418164605,"Non-Consumable",6
"FDK21",7.905,"Low Fat",0.010053105,"Snack Foods",249.0408,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",6258.52,1.4899739610468,"Food",4
"NCX54",9.195,"Non-Edible",0.048157338,"Household",106.1622,"OUT045",2002,"Small","Tier 2","Supermarket Type1",2117.244,0.310406455748581,"Non-Consumable",11
"DRK35",8.365,"Low Fat",0.071958197,"Hard Drinks",38.0506,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",796.9626,0.192677907513762,"Drinks",14
"FDY21",15.1,"Low Fat",0.173481304,"Snack Foods",194.511,"OUT046",1997,"Small","Tier 1","Supermarket Type1",4910.275,0.084484539840982,"Food",16
"FDI26",12.3408296213808,"Low Fat",0.061082177,"Canned",180.0344,"OUT019",1985,"Small","Tier 1","Grocery Store",892.172,0.424237524731524,"Food",28
"FDM20",10,"Low Fat",0.045614834125,"Fruits and Vegetables",246.9144,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",3185.1872,0.351800051624105,"Food",4
"FDV27",7.97,"Regular",0.040071131,"Meat",87.3514,"OUT045",2002,"Small","Tier 2","Supermarket Type1",1062.6168,0.333343530682194,"Food",11
"FDF09",13.1944061187762,"Low Fat",0.012090074,"Fruits and Vegetables",38.2848,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",484.7024,1.21723066652625,"Food",28
"FDY40",12.5693234042553,"Regular",0.15028599,"Frozen Foods",51.0692,"OUT019",1985,"Small","Tier 1","Grocery Store",147.8076,0.198286682472992,"Food",28
"FDY45",12.8657320024198,"Low Fat",0.026015519,"Snack Foods",255.8356,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",2543.356,0.639237125213521,"Food",28
"FDC46",17.7,"Low Fat",0.195068226,"Snack Foods",185.4266,"OUT010",1998,"Small","Tier 3","Grocery Store",184.4266,0.128005631025373,"Food",15
"FDH19",19.35,"Low Fat",0.033082215,"Meat",172.5738,"OUT035",2004,"Small","Tier 2","Supermarket Type1",4865.6664,0.447293664863427,"Food",9
"FDZ03",13.65,"Regular",0.078946455,"Dairy",186.024,"OUT045",2002,"Small","Tier 2","Supermarket Type1",1118.544,0.185710046221805,"Food",11
"DRH37",17.6,"Low Fat",0.041700756,"Soft Drinks",164.8526,"OUT045",2002,"Small","Tier 2","Supermarket Type1",2302.3364,0.337296131570323,"Drinks",11
"NCI17",8.645,"Non-Edible",0.143422643,"Health and Hygiene",95.841,"OUT046",1997,"Small","Tier 1","Supermarket Type1",2027.361,0.114996092899029,"Non-Consumable",16
"FDJ58",15.6,"Regular",0.105296072,"Snack Foods",170.1764,"OUT046",1997,"Small","Tier 1","Supermarket Type1",3435.528,0.133310159438494,"Food",16
"FDL12",15.85,"Regular",0.121531501,"Baking Goods",59.222,"OUT013",1987,"High","Tier 3","Supermarket Type1",599.22,0.138640412262977,"Food",26
"FDH35",18.25,"Low Fat",0.06536386175,"Starchy Foods",164.7526,"OUT045",2002,"Small","Tier 2","Supermarket Type1",4604.6728,0.245507235502345,"Food",11
"FDG02",7.855,"Low Fat",0.011324862,"Canned",189.6188,"OUT017",2007,"Small","Tier 2","Supermarket Type1",2285.0256,1.30160286705768,"Food",6
"NCZ18",7.825,"Non-Edible",0.186357148,"Household",254.3698,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",5580.7356,0.078827978547577,"Non-Consumable",14
"FDC29",8.39,"Regular",0.024205661,"Frozen Foods",114.0176,"OUT046",1997,"Small","Tier 1","Supermarket Type1",2290.352,0.66233982146176,"Food",16
"FDQ10",12.85,"Low Fat",0.033230816,"Snack Foods",172.3422,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",1207.0954,0.446070129712789,"Food",14
"FDN48",12.2752111111111,"Low Fat",0.113720344,"Baking Goods",89.9804,"OUT019",1985,"Small","Tier 1","Grocery Store",643.1628,0.216118221266923,"Food",28
"FDL04",19,"Low Fat",0.112556507,"Frozen Foods",104.9622,"OUT017",2007,"Small","Tier 2","Supermarket Type1",1587.933,0.132235626969388,"Food",6
"FDV25",5.905,"Low Fat",0.049968045375,"Canned",222.5456,"OUT045",2002,"Small","Tier 2","Supermarket Type1",5305.0944,0.32115126536506,"Food",11
"FDD58",7.76,"Low Fat",0.059352241,"Snack Foods",101.87,"OUT046",1997,"Small","Tier 1","Supermarket Type1",1697.79,0.233383725494952,"Food",16
"FDN04",11.8,"Regular",0.014087057,"Frozen Foods",180.3344,"OUT046",1997,"Small","Tier 1","Supermarket Type1",1427.4752,1.13791049579841,"Food",16
"FDV45",16.75,"Low Fat",0.045230944,"Snack Foods",187.9556,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",4693.89,0.328548395507522,"Food",4
"NCL18",13.3379766536965,"Non-Edible",0.293417759,"Household",194.6136,"OUT019",1985,"Small","Tier 1","Grocery Store",583.2408,0.088315552794475,"Non-Consumable",28
"FDR12",12.2752111111111,"Regular",0.031382044,"Baking Goods",171.3764,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",3091.9752,0.445129105587467,"Food",28
"FDG20",15.5,"Regular",0.12639886,"Fruits and Vegetables",177.0028,"OUT017",2007,"Small","Tier 2","Supermarket Type1",2479.4392,0.118691553824015,"Food",6
"FDZ55",6.055,"Low Fat",0.025403898,"Fruits and Vegetables",160.992,"OUT035",2004,"Small","Tier 2","Supermarket Type1",2716.464,0.630979604248007,"Food",9
"FDQ49",13.1791118421053,"Regular",0.039057677,"Breakfast",155.963,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",3285.723,0.390288553470008,"Food",28
"FDN33",6.305,"Regular",0.123115764,"Snack Foods",95.6436,"OUT046",1997,"Small","Tier 1","Supermarket Type1",661.8052,0.130221934533919,"Food",16
"FDN27",20.85,"Low Fat",0.039624006,"Meat",117.2808,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",1523.3504,0.41877969899035,"Food",14
"FDW20",20.75,"Low Fat",0.040421193,"Fruits and Vegetables",122.173,"OUT010",1998,"Small","Tier 3","Grocery Store",369.519,0.688899212481761,"Food",15
"DRG27",8.895,"Low Fat",0.105274111,"Dairy",39.9138,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",690.4346,0.139516743392698,"Drinks",14
"DRI25",19.6,"Low Fat",0.033970195,"Soft Drinks",55.1614,"OUT045",2002,"Small","Tier 2","Supermarket Type1",1381.535,0.440043056093574,"Drinks",11
"FDA44",19.7,"Low Fat",0.053212652,"Fruits and Vegetables",57.893,"OUT035",2004,"Small","Tier 2","Supermarket Type1",622.523,0.280295622834214,"Food",9
"NCR17",9.8,"Non-Edible",0.024378706,"Health and Hygiene",114.5492,"OUT035",2004,"Small","Tier 2","Supermarket Type1",1274.3412,0.657514027558138,"Non-Consumable",9
"FDU04",12.5693234042553,"Low Fat",0.009714595,"Frozen Foods",120.0414,"OUT019",1985,"Small","Tier 1","Grocery Store",487.3656,2.61089796619259,"Food",28
"FDF41",12.15,"Low Fat",0.131383762,"Frozen Foods",246.046,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",1231.73,0.107006070405792,"Food",14
"FDB56",8.75,"Regular",0.07461309,"Fruits and Vegetables",187.4556,"OUT035",2004,"Small","Tier 2","Supermarket Type1",3755.112,0.214655947170629,"Food",9
"NCP18",13.3379766536965,"Non-Edible",0.028459761,"Household",149.9708,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",4363.6532,0.621720016371326,"Non-Consumable",28
"FDB56",8.75,"Regular",0.074627201,"Fruits and Vegetables",187.8556,"OUT046",1997,"Small","Tier 1","Supermarket Type1",1314.2892,0.257874125701261,"Food",16
"FDT28",13.3,"Low Fat",0.063695084,"Frozen Foods",151.0708,"OUT045",2002,"Small","Tier 2","Supermarket Type1",1805.6496,0.232832399873314,"Food",11
"FDD10",12.8657320024198,"Regular",0.045797829,"Snack Foods",178.5344,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",2854.9504,0.321327187950162,"Food",28
"FDW57",8.31,"Regular",0.115857223,"Snack Foods",179.1028,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",3896.2616,0.138548256430195,"Food",14
"DRB48",16.75,"Regular",0.024832806,"Soft Drinks",38.7822,"OUT013",1987,"High","Tier 3","Supermarket Type1",667.7974,0.595007824301605,"Drinks",26
"FDP09",19.75,"Low Fat",0.034027909,"Snack Foods",212.0902,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",3185.853,0.40858917880502,"Food",4
"FDH14",17.1,"Regular",0.0467696,"Canned",141.1838,"OUT013",1987,"High","Tier 3","Supermarket Type1",2247.7408,0.299881863861244,"Food",26
"FDA47",10.5,"Regular",0.116576702,"Baking Goods",163.121,"OUT013",1987,"High","Tier 3","Supermarket Type1",1794.331,0.125660398954025,"Food",26
"FDG12",6.635,"Regular",0.00633202133333333,"Baking Goods",121.3098,"OUT045",2002,"Small","Tier 2","Supermarket Type1",2530.7058,2.53430937061488,"Food",11
"DRE60",11.788407960199,"Low Fat",0.278974075,"Soft Drinks",225.372,"OUT019",1985,"Small","Tier 1","Grocery Store",679.116,0.092888027594549,"Drinks",28
"DRK49",14.15,"Low Fat",0.035913805,"Soft Drinks",41.4138,"OUT013",1987,"High","Tier 3","Supermarket Type1",812.276,0.411517694153205,"Drinks",26
"FDD03",13.3,"Low Fat",0.079806266,"Dairy",232.53,"OUT046",1997,"Small","Tier 1","Supermarket Type1",699.09,0.200891155013451,"Food",16
"FDS52",8.89,"Low Fat",0.005505481,"Frozen Foods",102.4016,"OUT017",2007,"Small","Tier 2","Supermarket Type1",2732.4432,2.56406929258101,"Food",6
"FDW39",12.7661037891269,"Regular",0.064625342,"Meat",176.937,"OUT019",1985,"Small","Tier 1","Grocery Store",176.437,0.515345677638474,"Food",28
"FDX34",12.8657320024198,"Low Fat",0.071636937,"Snack Foods",121.7098,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",4097.3332,0.222716605939757,"Food",28
"FDV11",9.1,"Regular",0.0895920895714286,"Breads",173.2054,"OUT045",2002,"Small","Tier 2","Supermarket Type1",3151.8972,0.179115154884361,"Food",11
"FDD17",7.5,"Low Fat",0.032677678,"Frozen Foods",239.0906,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",5942.265,0.424314403028085,"Food",14
"FDZ16",16.85,"Regular",0.160760054,"Frozen Foods",192.4478,"OUT017",2007,"Small","Tier 2","Supermarket Type1",4843.695,0.0962655152248045,"Food",6
"FDZ46",7.485,"Low Fat",0.06911065,"Snack Foods",109.0228,"OUT035",2004,"Small","Tier 2","Supermarket Type1",2542.0244,0.231906538750072,"Food",9
"DRA12",11.6,"Low Fat",0.041177505,"Soft Drinks",140.3154,"OUT017",2007,"Small","Tier 2","Supermarket Type1",2552.6772,0.35205058581198,"Drinks",6
"FDY58",11.65,"Low Fat",0.040081193,"Snack Foods",227.0694,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",1141.847,0.351641660242886,"Food",4
"NCF19",13,"Non-Edible",0.035307322,"Household",47.5034,"OUT017",2007,"Small","Tier 2","Supermarket Type1",680.4476,0.399816093527954,"Non-Consumable",6
"DRJ13",12.65,"Low Fat",0.063017847,"Soft Drinks",159.0578,"OUT045",2002,"Small","Tier 2","Supermarket Type1",2085.9514,0.23518202165581,"Drinks",11
"FDB14",20.25,"Regular",0.171938781,"Canned",92.512,"OUT010",1998,"Small","Tier 3","Grocery Store",186.424,0.145225126997305,"Food",15
"FDJ38",8.6,"Regular",0.040197932,"Canned",190.153,"OUT035",2004,"Small","Tier 2","Supermarket Type1",3036.048,0.409918768449021,"Food",9
"FDW11",12.6,"Low Fat",0.049058014,"Breads",62.7194,"OUT017",2007,"Small","Tier 2","Supermarket Type1",866.8716,0.305810935282915,"Food",6
"FDL40",17.7,"Low Fat",0.01161096,"Frozen Foods",95.041,"OUT035",2004,"Small","Tier 2","Supermarket Type1",868.869,1.27421534710873,"Food",9
"DRI49",14.15,"Low Fat",0.183507295,"Soft Drinks",82.4276,"OUT046",1997,"Small","Tier 1","Supermarket Type1",1137.1864,0.0874253676514713,"Drinks",16
"FDV38",19.25,"Low Fat",0.102349519,"Dairy",52.7956,"OUT017",2007,"Small","Tier 2","Supermarket Type1",928.1252,0.165692970091416,"Food",6
"DRG23",8.88,"Low Fat",0.086708987,"Hard Drinks",151.7682,"OUT013",1987,"High","Tier 3","Supermarket Type1",762.341,0.170485791635804,"Drinks",26
"NCP30",20.5,"Non-Edible",0.032835147,"Household",40.2822,"OUT045",2002,"Small","Tier 2","Supermarket Type1",707.0796,0.489258877559599,"Non-Consumable",11
"FDY25",12.3408296213808,"Low Fat",0.033809913,"Canned",180.5976,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",7968.2944,0.539356798664362,"Food",28
"NCH54",13.5,"Non-Edible",0.07266912,"Household",160.292,"OUT046",1997,"Small","Tier 1","Supermarket Type1",1438.128,0.190496764094805,"Non-Consumable",16
"NCR53",13.1717394366197,"Non-Edible",0.144338493,"Health and Hygiene",224.4404,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",6976.2524,0.0954885726472017,"Non-Consumable",28
"FDS52",8.89,"Low Fat",0.009163216,"Frozen Foods",101.7016,"OUT010",1998,"Small","Tier 3","Grocery Store",101.2016,3.08031124120772,"Food",15
"FDG02",7.855,"Low Fat",0.011307038,"Canned",188.5188,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",952.094,1.56366364769734,"Food",4
"NCO26",7.235,"Non-Edible",0.076855628,"Household",116.0492,"OUT046",1997,"Small","Tier 1","Supermarket Type1",1969.4364,0.194105423606037,"Non-Consumable",16
"FDH35",13.6597577092511,"Low Fat",0.059956876,"Starchy Foods",165.4526,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",5262.4832,0.294936919023148,"Food",28
"FDB51",6.92,"Low Fat",0.038532062,"Dairy",60.5852,"OUT045",2002,"Small","Tier 2","Supermarket Type1",1314.2892,0.416922587823504,"Food",11
"FDX44",9.3,"Low Fat",0.043209581,"Fruits and Vegetables",90.8172,"OUT017",2007,"Small","Tier 2","Supermarket Type1",535.3032,0.341225384096088,"Food",6
"NCN07",18.5,"Non-Edible",0.056816465,"Others",132.1284,"OUT010",1998,"Small","Tier 3","Grocery Store",263.6568,0.413526621332815,"Non-Consumable",15
"NCC31",8.02,"Non-Edible",0.019866705,"Household",154.5972,"OUT035",2004,"Small","Tier 2","Supermarket Type1",1402.1748,0.696673882244762,"Non-Consumable",9
"NCX54",9.195,"Non-Edible",0.048331717,"Household",105.1622,"OUT017",2007,"Small","Tier 2","Supermarket Type1",1693.7952,0.37290275179082,"Non-Consumable",6
"NCO55",12.8,"Non-Edible",0.091221855,"Others",105.5938,"OUT045",2002,"Small","Tier 2","Supermarket Type1",2143.876,0.154190064168066,"Non-Consumable",11
"NCC30",16.6,"Non-Edible",0.027622076,"Household",177.6344,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",2676.516,0.54091835204431,"Non-Consumable",14
"FDI16",14,"Regular",0.157383709222222,"Frozen Foods",53.064,"OUT035",2004,"Small","Tier 2","Supermarket Type1",905.488,0.101962910134121,"Food",9
"FDP16",18.6,"Low Fat",0.039355947,"Frozen Foods",246.3802,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",7370.406,0.371919040925965,"Food",14
"FDB11",16,"Low Fat",0.060836524,"Starchy Foods",226.8404,"OUT035",2004,"Small","Tier 2","Supermarket Type1",6301.1312,0.243146119648716,"Food",9
"NCB06",17.6,"Non-Edible",0.082316506,"Health and Hygiene",160.692,"OUT035",2004,"Small","Tier 2","Supermarket Type1",1597.92,0.181194198561224,"Non-Consumable",9
"FDA45",21.25,"Low Fat",0.155350299,"Snack Foods",178.237,"OUT035",2004,"Small","Tier 2","Supermarket Type1",529.311,0.103251549616028,"Food",9
"NCO26",7.235,"Non-Edible",0.076841095,"Household",117.5492,"OUT035",2004,"Small","Tier 2","Supermarket Type1",1969.4364,0.233186021939059,"Non-Consumable",9
"DRJ25",14.6,"Low Fat",0.151419185,"Soft Drinks",50.3692,"OUT017",2007,"Small","Tier 2","Supermarket Type1",1034.6532,0.0970627989117854,"Drinks",6
"FDR28",13.85,"Regular",0.026001976,"Frozen Foods",161.521,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",1794.331,0.692049842330897,"Food",4
"FDI04",13.65,"Regular",0.073209447,"Frozen Foods",197.6426,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",2768.3964,0.189904515649888,"Food",4
"DRK12",11.788407960199,"Low Fat",0.041683481,"Soft Drinks",31.29,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",898.83,0.382759193485669,"Drinks",28
"FDX20",7.365,"Low Fat",0.042560252,"Fruits and Vegetables",226.172,"OUT046",1997,"Small","Tier 1","Supermarket Type1",3169.208,0.347748499936392,"Food",16
"NCI18",18.35,"Non-Edible",0.014081156,"Household",223.5746,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",3589.9936,1.143207419054,"Non-Consumable",4
"FDB36",5.465,"Regular",0.0404540451666667,"Baking Goods",132.5626,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",262.3252,0.396679761786163,"Food",4
"FDN13",18.6,"Low Fat",0.152918384,"Breakfast",99.8358,"OUT017",2007,"Small","Tier 2","Supermarket Type1",1910.1802,0.0973328372578554,"Food",6
"DRD24",13.85,"Low Fat",0.030969274,"Soft Drinks",140.9154,"OUT017",2007,"Small","Tier 2","Supermarket Type1",1701.7848,0.455820672086694,"Drinks",6
"FDQ28",14,"Regular",0.060376776,"Frozen Foods",154.5656,"OUT013",1987,"High","Tier 3","Supermarket Type1",2471.4496,0.254664131226272,"Food",26
"FDM22",14,"Regular",0.04192285,"Snack Foods",54.764,"OUT013",1987,"High","Tier 3","Supermarket Type1",1331.6,0.365001513715828,"Food",26
"FDR07",13.1944061187762,"Low Fat",0.077367431,"Fruits and Vegetables",97.0094,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",1808.9786,0.178102700318782,"Food",28
